Id,Name,Number of employees,Annual revenue,Website,Phone,Display phone,Address,City,State,Zipcode,Country,Facebook,Twitter,LinkedIn,Last contacted time,Last contacted mode,Last contacted via chat,Last activity type,Last activity date,Recent note,Industry type,Business type,Territory,Column1,Created at,Updated at,Active sales sequences,Completed sales sequences,Last assigned at,Column2,Column3,Column4,Owner id,Owner,Created by id,Created by,Updated by id,Updated by,Import ID,Inside Sales Collaboration,To be deleted,Cloud Provider,Hosting Provider,Renewal month,Email Renewal Date,Present Email Service Provider,Cloud Billing Frequency,Segment,Microsoft Agreement,Account Type,Tags
2002201110,Parijat Industries India Pvt. Ltd,,,,,,"M-77, I & II Floor, M Block Market, Greater Kailash- II,",Dew Delhi,,,,,,,2024-02-03 06:00:13 UTC,Outgoing email,,Email,2024-02-03 06:00:13 UTC,,,,,,2017-07-30 09:38:20 UTC,2023-08-19 08:11:56 UTC,,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 08:11:57 UTC,,,,2000077892,Manish Gupta,2000031232,,2000077892,Manish Gupta,,,,,,,2017-02-27 18:30:00 UTC,Microsoft Office 365,,SMB - Commercial,,,
2002201112,Exzeo Software,51-200,,exzeo.com,,,"Block A 42/6, A 42, Block A, Sector 62",Noida,Uttar Pradesh,,,,,,2022-01-04 07:43:57 UTC,Outgoing email,,Email,2022-01-04 07:43:57 UTC,,,,,,2017-07-30 09:44:10 UTC,2023-08-19 07:55:31 UTC,;March 2021 - All Contacts,Compassionate - Active Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 07:55:32 UTC,,,,2000077892,Manish Gupta,2000031232,,2000077892,Manish Gupta,,,,,,,,Others,,,,,Compassionate Referral March 2021
2002201258,Safexpress Pvt Ltd,1001-5000,,www.safexpress.com,1800 113 113,," NH 8, Mahipalpur Extension",New Delhi, Delhi ,110037,India,,,,2024-02-02 06:43:31 UTC,Outgoing email,,Email,2024-02-02 06:43:31 UTC,Call disconnected / company profile share on the mail id.,Shipping,Prospect,,,2017-07-30 15:28:03 UTC,2024-01-24 08:03:23 UTC,,;;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-10-23 08:17:36 UTC,,,,2000079865,,2000031232,,2000077892,Manish Gupta,,,,,,,2017-04-29 18:30:00 UTC,Microsoft Office 365,,,,,Focus
2002201527,Tiger Logistics India Limited,,,www.tigerlogistics.in,011 4735 1111,,Okhla,Delhi,Delhi,110020,India,,,,2024-02-02 06:39:50 UTC,Outgoing email,,Email,2024-02-02 06:39:50 UTC,,Shipping,Customer,,,2017-07-30 15:44:16 UTC,2024-02-16 05:50:38 UTC,,;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2024-02-09 06:33:48 UTC,,,,2000079865,,2000031232,,2000079865,,,,,,,,,Net4India,,,,,Rescue
2002201562,Alok Industries Private Limited,10000+,,www.alokind.com,2261787000,,,,,,,,,,2024-02-02 06:39:14 UTC,Email opened by recipient,,Email,2024-02-02 06:39:14 UTC,,,,,,2017-07-30 17:02:21 UTC,2023-09-04 06:26:37 UTC,,;;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:26:38 UTC,,,,2000031227,,2000031232,,0,,,,,,,,,Others,,,,,
2002201565,Anand Automotive Systems Limited,,,,,,,,,,,,,,2024-02-01 05:25:14 UTC,Outgoing email,,Email,2024-02-01 05:25:14 UTC,,Automotive,Customer,,,2017-07-30 17:11:06 UTC,2023-09-04 06:30:22 UTC,,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:30:23 UTC,,,,2000031227,,2000031232,,2000077892,Manish Gupta,,,,,,,,Google,,,,,
2002201570,S.Chand & Company Pvt Ltd,1001-5000,,www.schandgroup.com,,,"A-27, 2nd Floor, Mohan Co-operative Industrial Estate, New Delhi South Delhi DL 110044 IN",New Delhi,Delhi,110044,India,,,,2024-02-01 05:30:09 UTC,Email opened by recipient,,Email,2024-02-01 05:30:09 UTC,,Publishing,Customer,,,2017-07-30 17:26:54 UTC,2023-06-08 11:56:47 UTC,;,;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2022-04-15 07:53:12 UTC,,,,2000077892,Manish Gupta,2000031232,,0,,,,,,,,2017-05-30 18:30:00 UTC,Microsoft Office 365,,,,,
2002201578,BigFoot Retail Solutions Pvt. Ltd,,,,,,,,,,,,,,2019-05-02 08:58:52 UTC,Outgoing email,,Email,2019-05-02 08:58:52 UTC,,Ecommerce,Customer,,,2017-07-30 17:37:08 UTC,2023-09-04 06:45:37 UTC,March 2021 - All Contacts,;;;;;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:45:38 UTC,,,,2000031227,,2000031232,,2000077892,Manish Gupta,,,,,,,,Others,,,,,Compassionate Referral March 2021
2002201582,Savannah Seeds Private Limited,,,,,,,,,,,,,,2021-04-01 05:36:50 UTC,Outgoing email,,Email,2021-04-01 05:36:50 UTC,,"Food, Beverage & Tobacco",Customer,,,2017-07-30 17:45:21 UTC,2023-08-19 07:55:32 UTC,,;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 07:55:33 UTC,,,,2000077892,Manish Gupta,2000031232,,2000077892,Manish Gupta,,,,,,,2017-01-29 18:30:00 UTC,Microsoft Office 365,,,,,
2002202412,Avadh Industry,Nov-50,,avadhindustries.com,,,"S. NO. 485, B/H. Apex Electricals Ltd. Samiala",Vadodara,Gujarat,391410,India,,,,2024-02-01 05:29:44 UTC,Outgoing email,,Email,2024-02-01 05:29:44 UTC,Shared with him Windows quotastion and VLAN,Machinery,Prospect,,,2017-07-31 05:16:13 UTC,2023-09-04 06:38:13 UTC,,;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:38:14 UTC,,,,2000031227,,2000031252,,2000077892,Manish Gupta,,,,,,,2017-07-27 18:30:00 UTC,Microsoft Office 365,,,,,
2002202459,Hi-Lex India Pvt. Ltd.,201-500,,www.hi-lex.co.in,1244565000,,"Plot No 398, Sector-8, IMT Manesar",Gurgaon,Haryana,122050,INDIA,,,,2024-02-03 06:01:05 UTC,Outgoing email,,Email,2024-02-03 06:01:05 UTC,We have shared our commercial offer with the customer for extension and it is on the negotiation stage.,Manufacturing,Customer,,,2017-07-31 06:36:26 UTC,2024-02-27 15:24:42 UTC,;March 2021 - Contacts,;;New Sequence;;;;;;;;;;;Compassionate - Active Contacts;Compassionate - Delhi NCR without Mobile Number;Zoom vs Teams;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2020-04-02 21:07:10 UTC,,,,2000031227,,2000031255,,2000077892,Manish Gupta,,,Yes,,,,2017-08-20 18:30:00 UTC,Microsoft Office 365,,SMB - Commercial,,,
2002202959,Majmudar & Partners,51-200,,www.majmudarindia.com,,,"104, Prestige Meridian - I No. 29 ",M.G. Road ,Bangalore ,560001,India,,,,2019-12-26 06:02:36 UTC,Email opened by recipient,,Email,2019-12-26 06:02:36 UTC,"
Renewal in November. They are work on another project at this time","Finance, Insurance & Banking",Prospect,,,2017-07-31 11:21:01 UTC,2023-09-21 10:30:59 UTC,,,2023-09-21 10:31:00 UTC,,,,2000031227,,2000031252,,2000077892,Manish Gupta,,,Yes,,,,2017-09-27 18:30:00 UTC,Microsoft Office 365,,,,,
2002215591,Avantha Technologies Limited,10000+,,www.avanthabsl.com,1244343434,,"1st Floor, Plot No. 47, Phase IV, Udyog Vihar,",Gurugram,Haryana ,122015,India,,,,2024-02-02 06:40:46 UTC,Email opened by recipient,,Email,2024-02-02 06:40:46 UTC,"Had a word with Rohit earlier on Friday, he said that I can share the company profile with him, and he will share the requirements. He asked me to leave the upcoming renewal, but he will share the new requirements. Their renewal is in March-April.",Technology,Prospect,,,2017-08-02 05:16:03 UTC,2024-02-29 06:26:41 UTC,;March 2021 - Contacts,;;New Sequence;;;;;;Compassionate - Active Contacts;Compassionate - Delhi NCR without Mobile Number;Zoom vs Teams;;;;;;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-09-04 06:38:14 UTC,,,,2000031227,,2000031227,,2000069069,,,,,,,,2017-12-30 18:30:00 UTC,Microsoft Office 365,,,,,Rescue;Mohit April 2020
2002215598,Mark Software Systems,,,,,,,,,,,,,,2020-02-03 05:43:32 UTC,Outgoing email,,Email,2020-02-03 05:43:32 UTC,,,,,,2017-08-02 05:20:19 UTC,2022-03-09 16:34:18 UTC,;March 2021 - All Contacts,;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000007516,,2000077892,Manish Gupta,,,,,,,,Others,,,,,
2002215620,FLOVEL Energy Private Limited,201-500,,www.flovel.net/contact-getintouch.asp,,,"Vatika Mindscapes  Suite 101-A, Tower – B, 12/3, Mathura Road, Faridabad – 121 003, Haryana, INDIA",Faridabad,Haryana,121003,,,,,2021-08-09 05:45:37 UTC,Outgoing email,,Email,2021-08-09 05:45:37 UTC,,Other,Prospect,,,2017-08-02 05:52:26 UTC,2023-08-19 08:07:32 UTC,March 2021 - All Contacts,;;;Compassionate - Active Contacts;;;;;;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 08:07:33 UTC,,,,2000077892,Manish Gupta,2000031252,,2000077892,Manish Gupta,,,,,,,2017-08-01 18:30:00 UTC,Google,,,,,Focus
2002215647,Kapadia Associates Design LLP,51-200,,www.kapl.in,22-6660 2838 /39,,"112, peninsula Centre, Dr SS Rao road, parel East",Mumbai,Maharashtra ,400012,India,,,,2024-02-02 06:38:53 UTC,Outgoing email,,Email,2024-02-02 06:38:53 UTC,"Had a word with customer , they have closed the MS 365 BS licenses for 85 users in Jan month only.

Created a clone for next year follow up and discussed about Security Solutions , Company profile shared also shared.",Other,Prospect,,,2017-08-02 06:47:50 UTC,2024-01-24 09:47:50 UTC,,;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-10-23 08:17:36 UTC,,,,2000079865,,2000031252,,2000077892,Manish Gupta,,,,,,,2017-08-07 18:30:00 UTC,Microsoft Office 365,,,,,
2002218075,IP Horizons,,,iphorizons.com/index.htm,'+91-80-28541041/042 41529196/197',,"Law Firm Of Naren Thappeta 7, Sigma Soft Tech Park 5th Floor, Beta Block, Whitefield Main Road, Varthur Kodi ",Bengaluru,Karnataka ,560066,India,,,,2020-08-31 07:51:48 UTC,Outgoing email,,Email,2020-08-31 07:51:48 UTC,,,Prospect,,,2017-08-02 07:21:28 UTC,2023-11-09 06:26:28 UTC,;March 2021 - All Contacts,Compassionate - Active Contacts;;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000031227,,2000077892,Manish Gupta,,,,,,,,Net4India,,,,,
2002218098,AVAALI SOLUTIONS PVT. LTD.,51-200,,www.avaali.com,'+91-80-49602727',,"1st Floor, SV Towers, #27, 80 Feet Road, 6th Block, Koramangala, ",Bangalore ,Karnataka,560095,India,,,,2024-02-01 05:28:50 UTC,Outgoing email,,Email,2024-02-01 05:28:50 UTC,"Had a word with Manju, he said that there is no IT department here. Concern person (Guruprasad) is also not there. You can share the email at guruprasad.m@avaali.com , tomorrow as it is month end, and we are busy with billing. ",Technology,Prospect,,,2017-08-02 07:39:56 UTC,2023-08-31 07:30:23 UTC,,Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,,,,,2000031227,,2000031227,,2000077892,Manish Gupta,,,,,,,,Net4India,,,,,
2002218611,Bliss Anand,201-500,,www.blissanand.com,'+91-124-4366000',,"92B & 93B, Sector-5, IMT Manesar, ",Gurgaon,Haryana,122050,India,,,,2024-02-03 05:59:50 UTC,Outgoing email,,Email,2024-02-03 05:59:50 UTC,"Had a word with Mr. Satish with reference to his Crowd Strike renewal due in the next month, he said that yes, please share the commercials with me. He has shared the details with Priyanka. I have asked to re-share with me.",Engineering,Customer,,,2017-08-02 09:41:06 UTC,2024-03-11 10:05:37 UTC,,;;New Sequence;;;;;;Compassionate - Active Contacts;Zoom vs Teams;;;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2024-02-09 06:36:47 UTC,,,,2000031227,,2000031255,,2000031227,,,,,,,,2018-08-01 18:30:00 UTC,Microsoft Office 365,,,,,Exisitng Customer
2002219445,Satake India Engineering Pvt. Ltd.,Nov-50,,www.satakeindia.com/c,,,"4TH Floor, HB Twin Tower, Tower-I, A-2,3,4, Netaji Subhash Place,",Wazirpur,New Delhi,110034,INDIA,,,,2024-02-03 06:00:24 UTC,Outgoing email,,Email,2024-02-03 06:00:24 UTC,We have shared our commercial offer with the customer for extension and it is on the negotiation stage. ,,Customer,,,2017-08-02 11:05:09 UTC,2024-02-25 05:48:08 UTC,;,;;New Sequence;;;;;;;;;;Office 365 Offerings - Compassionate Office 365 Delhi NCR with Mobile Numbers;Compassionate - Active Contacts;Compassionate - Delhi NCR without Mobile Number;Zoom vs Teams;;;;;;;;;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-12-22 06:00:08 UTC,,,,2000031227,,2000031255,,2000074157,,,,,,,,,Microsoft Office 365,,,,,
2002219516,RS Components & Controls (India) Ltd,51-200,,in.rsdelivers.com/companyinfo/branches,1204519100,,"B - 74, Sector 60, ",Noida ,Uttar Pradesh,201301,India,,,,2024-02-01 05:28:10 UTC,Email opened by recipient,,Email,2024-02-01 05:28:10 UTC,We have shared our offer with them. Anil said that we are on 2nd number and this time he is not the decision maker. Spoke to Mr. Jitendra as well. He said that he will speak to Anil on this. ,Manufacturing,Customer,,,2017-08-02 11:38:48 UTC,2024-03-07 10:08:20 UTC,;March 2021 - All Contacts,;;New Sequence;;;;;;Compassionate - Active Contacts;Zoom vs Teams;;;;;;;;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2024-02-09 06:36:48 UTC,,,,2000031227,,2000031227,,2000031227,,,,,,,,,Microsoft Office 365,,,,,Workflow Automation - mailer;Focus
2002228590,SS Associates,Nov-50,,,098108 20448,,"C405, Nirvana Courtyard, South City Road, Nirvana Country, Sector 50",Gurgaon,Haryana,122018,India,,,,2019-06-25 08:58:04 UTC,Outgoing call,,Phone,2019-06-25 08:58:04 UTC,"0124-4968556 - No response.
","Food, Beverage & Tobacco",Prospect,,,2017-08-03 05:55:43 UTC,2024-02-27 06:12:23 UTC,March 2021 - All Contacts,;;;;;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-10-23 08:17:36 UTC,,,,2000079865,,2000031235,,2000079865,,,,,,,,,Others,,,,,
2002228602,Sycamore Software Solution Pvt Ltd,51-200,,www.sycamoresol.com,020 2616 2293,,"2nd Floor, Connaught Place, C.T.S. No. 28, Bund Garden Road",Pune,Maharashtra,411001,India,,,,2024-02-02 06:36:46 UTC,Outgoing email,,Email,2024-02-02 06:36:46 UTC,"Had a word with Mr. Mandaar , they are using MS 365 Apps for Business licenses - they are doing billing online and happy with that/ don;t want to buy offline.

Company profile shared.",Computer,Customer,,,2017-08-03 06:24:58 UTC,2024-02-16 10:46:10 UTC,,Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-10-23 08:17:37 UTC,,,,2000079865,,2000031235,,2000079865,,,,,,,,2017-07-13 18:30:00 UTC,Others,,,,,Mohit August 2020
2002239057,KARL STORZ Endoscopy India Private Limited,501-1000,,www.karlstorz.com/be/en/india-new-delhi.htm,,,"11th Floor, Dr. Gopal Das Bhawan 28, Barakhamba Road New Delhi Central Delhi DL 110001 IN",New Delhi,Delhi,110001,India,,,,2024-02-02 06:39:16 UTC,Outgoing email,,Email,2024-02-02 06:39:16 UTC,,Pharmaceuticals,Prospect,,,2017-08-04 06:32:23 UTC,2023-08-21 16:58:57 UTC,;;March 2021 - Contacts,;;Compassionate-Zauba-New Profile;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2022-04-15 07:53:13 UTC,,,,2000077892,Manish Gupta,2000031235,,2000077892,Manish Gupta,,,,,,,,Others,,,,,
2002251707,Templatolio Technologies,Nov-50,,www.templatolio.com/contactus.html,'+91-124-2389100/101/102',,"2nd floor, Nr-2 Nathupur Road, Next to Neelkanth Hospital,  DLF Phase 3,",Gurugram,Haryana,122002,India,,,,2024-02-02 06:43:39 UTC,Outgoing email,,Email,2024-02-02 06:43:39 UTC,,Other,Customer,,,2017-08-05 06:15:42 UTC,2023-08-22 16:18:55 UTC,,;;;;;Compassionate - Active Contacts;;;;;March 2021 - All Contacts;Surface Outreach April;Contacts MicrosoftDirectProgram Leads;,2023-08-19 08:12:09 UTC,,,,2000031227,,2000031227,,2000077892,Manish Gupta,,,,,,,,Others,,,,,Exisitng Customer
2002256512,Gravita Exim,201-500,,www.gravitagroup.com,,,,,,,,,,,2019-06-13 05:27:27 UTC,Outgoing email,,Email,2019-06-13 05:27:27 UTC,"SUNIL.KUMAWAT@gravitaindia.com

company profile shared on this mail id. ",Software,Customer,,,2017-08-07 07:36:00 UTC,2023-11-28 11:14:46 UTC,,,2023-10-23 08:17:37 UTC,,,,2000079865,,2000031232,,2000079865,,,,Yes,,,,2017-09-14 18:30:00 UTC,Microsoft Office 365,,,,,
